vet_id;clinic_id;vet.login;vet.registration_date;Clinics.email;Clinics.name
vxiQuCuhSmCcMOx7Yd/LWQ==;ZCXjyvVPQoeVqd9tp7rJhg==;kk1t9cgZ;10/02/14 1:00;;
QW7+BBX5Q523FjJ7XVQKOw==;ZCXjyvVPQoeVqd9tp7rJhg==;PXahDyQP;29/06/10 2:00;;
zbNLLDHfQ4mbcrQBqpzYkA==;N8qJ80EbQqSTrldR3MDSqA==;QNB8Oxuj;28/12/99 1:00;;
vxEgApjHRr+oJp5AE3bcpA==;Hqzg8iafS7yetVnWjUlycw==;AcqgNFWw;19/06/00 2:00;;
nvMpmM9OTrCk/n7mJMWwsQ==;Hqzg8iafS7yetVnWjUlycw==;h3thgJHm;18/09/05 2:00;;
tIba+oYZQxGdkxTIjUsSVQ==;mGS/moXPSv2E64pwkxJO3w==;QVFxAbJs;21/12/20 1:00;;
Jz/IjQL7TpqBDMtiJXkb3A==;GL4G6miIRqCx1+p+k6y8kg==;X4yVJbsF;19/03/22 1:00;;
q5Fx+qGrTpGWsv5Rh+yZtw==;GL4G6miIRqCx1+p+k6y8kg==;1ZYpIHpi;4/11/22 1:00;;
Do2h4uFjThq92HGlARDDDA==;7TKBkEBVQLew4eL34vi4eg==;PiVpBUPO;18/07/16 2:00;;
nOUBYkWZS8Kvaq5cF6pMmw==;YlqPJbqUSRyurnFa0cKTPg==;R6IlW59E;4/11/16 1:00;;
2eYcHjc7SdeuQIwIN7VzeQ==;UOAykDWqRd+63S2bhbVUrA==;hT4k34ZV;23/08/03 2:00;;
MhjZwqRZSZyec5T2eUmijg==;UOAykDWqRd+63S2bhbVUrA==;tsKIfXdw;21/07/14 2:00;;
iBwYnHxVQ9W/149OlmK/uA==;e8YE8BO1SOakX1u15sny1w==;JDfI6vxU;13/12/01 1:00;;
2JYUOemHQwGJpFidhIEZmQ==;PPACameoSQKJIhs1GVx/pg==;CKvYYHSp;10/09/21 2:00;;
wPdLiI7GReuw5NMrGRBRHQ==;PPACameoSQKJIhs1GVx/pg==;ySO0ENwC;14/10/12 2:00;;
1v19HR3mR/y/2JI2dMlb6A==;69Y2YnfXSSa7ET+8IkYISg==;iYSifWhp;26/04/22 2:00;;
X4XmWVktRMyJpo3DbFr/gQ==;69Y2YnfXSSa7ET+8IkYISg==;8wkO9D02;7/09/08 2:00;;
j3uk24M8QTaIBE5nJKt4bQ==;acwEnNJ1QAanBPzgwAc89w==;RczroOB7;11/10/22 2:00;;
nr8qk2y7T7ulnFuHKNaGdw==;r5un3VwRSGiy3acB+SeXcg==;nxFrJjM5;15/01/00 1:00;;
SXPYNJ/fSbOCHOwEHmP6eQ==;r5un3VwRSGiy3acB+SeXcg==;Kn6MA40L;4/09/03 2:00;;
ZSDv4vqNTriic8Xh1UWe/Q==;FWly6o+fRZ2nP6Ogu1U+hg==;N2Wa9waI;19/12/14 1:00;;
xsQ9VZbaQumbt6NM2ch26w==;dvpMloJoR7y5h55ZCrUOFw==;l0iL92Xj;27/01/02 1:00;;
VtgdTXwRRnabsHCihTpbXg==;dvpMloJoR7y5h55ZCrUOFw==;iFMvpx0Y;4/04/14 2:00;;
0mwt91fVS8akva5Le7Y8QQ==;shvxyUqxQgSUBDikC59oDg==;yX4Pr9uk;3/08/08 2:00;;
4gxIcF4bQJa+7aOHWULkmw==;qeb7uJXcQtCi89UOX6jJgg==;koVPo48A;6/03/04 1:00;;
Xrx6bx7dSoKY33Y0DbwQHw==;FkrLorY2SpCCRxsVwISx5g==;6JMOnAJY;24/07/13 2:00;;
2hqZ4V5wQLGrwCNRICn/Mg==;FkrLorY2SpCCRxsVwISx5g==;LuXhS7iF;26/08/09 2:00;;
IQUhMRMVRu2ooB5sgyHk3g==;AIyzvkMmTxuz2fvMXb/5OA==;nV8hfpm1;21/04/08 2:00;;
NTU6IlqsQAmedilJH8JaOA==;QglRoVh5RcilHzkpkVc1xQ==;IUAKZT4d;20/12/20 1:00;;
pTCHiMfsTWKPUEG02VdWfw==;cBYms+XSSGSmFabiFVN67Q==;DVi0wSMn;24/08/01 2:00;;
c+n84KX2SEyQBTY5XPSgGQ==;5eOMjvthS4+wa1v5tb82TA==;TheUiW6a;25/09/17 2:00;;
Sz2TV4xbRTegIFAqLuG1zA==;5eOMjvthS4+wa1v5tb82TA==;yQD26hZm;5/03/02 1:00;;
X6MF8Eo2TIGeaPIcwnQFzA==;oVJp3kFQRHmVlBqq92ZWRw==;HVB0FXNa;23/08/10 2:00;;
0hrIi0SqS6C+nLqDXZMRiQ==;hUOq1b1VSauz7CKnl7ej/Q==;gRIXqoEM;22/12/20 1:00;;
9ADoiCGiQXy4erOTveqiIw==;2BvZzV7VQ0SaPz1RMAjgGg==;6dOVh4KZ;20/01/16 1:00;;
uOB9ZiKoRxmb8EMYOjwZZg==;2BvZzV7VQ0SaPz1RMAjgGg==;0sAY1a55;2/10/17 2:00;;
92nzX9cSSjOIAENKWeyyyw==;dwfEX3lXQi+Dr9xgSbLmbw==;Qu3HzGXV;2/01/11 1:00;;
mbcuAWteQrOAGc3oLQlNng==;dwfEX3lXQi+Dr9xgSbLmbw==;0PZGU8nB;14/02/02 1:00;;
pDPKSjjyTn2XpQmhBgUsQg==;Gugm/HuUTDW7uqTCJda5+g==;7MP95cqG;5/09/07 2:00;;
HFHwrkoWRoGNAogv2+Rlyw==;nYUByLonRGK+6FGY/eflNw==;fB5jmZke;16/10/20 2:00;;
v67C+zXnTbuhW9k0v5OQ+w==;1E2VbImtSWmpg+7wGQFIFg==;l4vjSpz6;4/02/18 1:00;;
rvCcI5w1Tkyqib43OXJw7w==;1E2VbImtSWmpg+7wGQFIFg==;C7NBSc85;4/08/22 2:00;;
82b109CXRHCnkxXvOw4/jQ==;JPvfRIAKRMS/hDNI/Cf7zA==;DHlL3Wtx;7/01/05 1:00;;
PgjN8ybmSuSKAU72K8WZog==;JPvfRIAKRMS/hDNI/Cf7zA==;yRybFzcm;22/05/00 2:00;;
CJIWJTNrT/S71eAASrhqUg==;TFt7ODFKQp2uuEryzF5y0w==;uiRKysXU;15/03/14 1:00;;
B3fwgAviQFGpsVKv5Wjviw==;TFt7ODFKQp2uuEryzF5y0w==;YQy1NEyJ;9/03/12 1:00;;
GGt8xwQUR4GMB5GeiNgjlQ==;5f48pnnxQr2AL4vJeJLUGQ==;oxF3esvK;9/01/21 1:00;;
gyn0m9J0R6a4z60TeYvwSA==;LTXR/k3ATpS3baf+EGNX3g==;agICotW9;15/12/19 1:00;;
GHOy9IyLTNG1L8ZvwdqMDQ==;LTXR/k3ATpS3baf+EGNX3g==;1hQCNN0w;9/05/16 2:00;;
oNo7JshySq+9A227YRttmQ==;SvzjUbA2RLOUzWtPAq3+GA==;fBRQwLry;23/08/03 2:00;;
4TzzbFVhT+WIgMrHSPNNEQ==;SvzjUbA2RLOUzWtPAq3+GA==;pZi1Vo3W;25/03/07 1:00;;
kaln8QTzSf2IzEI6YdvWCg==;/PvZc7Z4Qei5n/tLWfAkhA==;m16cbf9r;8/11/14 1:00;;
npyLP6lYRWaNTzHuPc3W4Q==;/PvZc7Z4Qei5n/tLWfAkhA==;s8odEd5E;15/10/02 2:00;;
LNNBVRHYQ+mqYd0twibFvw==;upH0sO+6TYGtuVdDmrN3cA==;2flSfely;11/03/13 1:00;;
9NmxuQh8SsWgDCOyFZdQwQ==;0hMCqoALSayNsb062kkj2w==;TSZKEJEf;20/10/03 2:00;;
8hJLvg0ITlqFgFZoey3XMA==;0hMCqoALSayNsb062kkj2w==;B28IWmLH;9/12/08 1:00;;
yPRWFoaHTOqXIjfctp2s+Q==;PDDU52KTSU6z9g7q67Z82A==;MxYPhIRH;14/08/21 2:00;;
AGoNLAtCRJKBghhG38x/rw==;GfWjN6x3Q2yQfQa5XoY+Tg==;PAgzNZ9H;22/12/09 1:00;;
7w/+0kijSgyI5YhSS9lytA==;GfWjN6x3Q2yQfQa5XoY+Tg==;mNMk0lmx;19/04/06 2:00;;
2PxyHAc6Qjmkfmv08YDRJg==;+MBkpOlbSRelMiffeTBuzQ==;8ZCvhIlq;12/09/22 2:00;;
6WGqvJjcSvm7fiTpkWtFHQ==;OA8uOKZEQOSPGKEwDtwBQw==;mArdhv41;21/06/17 2:00;;
C6MsLiwqTS27MajXSrR1cw==;NqKiHw8LT1+Lqwbi+3UIDg==;ENiS18Ed;22/05/13 2:00;;
U6zX6A9FQqyGqFdieQSRMA==;NqKiHw8LT1+Lqwbi+3UIDg==;SYc7yGPU;13/06/08 2:00;;
